!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
         -3.980e-06 -3.617e-06 -3.798e-06     0       0
         -3.617e-06 -3.255e-06 -3.436e-06     0       0
         -3.255e-06 -2.893e-06 -3.074e-06   500     500
         -2.893e-06 -2.531e-06 -2.712e-06     0     500
         -2.531e-06 -2.169e-06 -2.350e-06     0     500
         -2.169e-06 -1.807e-06 -1.988e-06     0     500
         -1.807e-06 -1.444e-06 -1.625e-06     0     500
         -1.444e-06 -1.082e-06 -1.263e-06     0     500
         -1.082e-06 -7.201e-07 -9.011e-07     0     500
         -7.201e-07 -3.579e-07 -5.390e-07     0     500
         -3.579e-07  4.270e-09 -1.768e-07     0     500
          4.270e-09  3.664e-07  1.854e-07     0     500
          3.664e-07  7.286e-07  5.475e-07     0     500
          7.286e-07  1.091e-06  9.097e-07     0     500
          1.091e-06  1.453e-06  1.272e-06     0     500
          1.453e-06  1.815e-06  1.634e-06     0     500
          1.815e-06  2.177e-06  1.996e-06     0     500
          2.177e-06  2.539e-06  2.358e-06     0     500
          2.539e-06  2.902e-06  2.721e-06     0     500
          2.902e-06  3.264e-06  3.083e-06     0     500
          3.264e-06  3.626e-06  3.445e-06     0     500
          3.626e-06  3.988e-06  3.807e-06     0     500
          3.988e-06  4.350e-06  4.169e-06     0     500
          4.350e-06  4.712e-06  4.531e-06     0     500
          4.712e-06  5.075e-06  4.893e-06     0     500
          5.075e-06  5.437e-06  5.256e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/CEERS_00397_Es649Lr
