!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
         -2.332e-07 -1.875e-08 -1.260e-07     0       0
         -1.875e-08  1.957e-07  8.848e-08     0       0
          1.957e-07  4.102e-07  3.029e-07   500     500
          4.102e-07  6.246e-07  5.174e-07     0     500
          6.246e-07  8.391e-07  7.318e-07     0     500
          8.391e-07  1.054e-06  9.463e-07     0     500
          1.054e-06  1.268e-06  1.161e-06     0     500
          1.268e-06  1.482e-06  1.375e-06     0     500
          1.482e-06  1.697e-06  1.590e-06     0     500
          1.697e-06  1.911e-06  1.804e-06     0     500
          1.911e-06  2.126e-06  2.019e-06     0     500
          2.126e-06  2.340e-06  2.233e-06     0     500
          2.340e-06  2.555e-06  2.447e-06     0     500
          2.555e-06  2.769e-06  2.662e-06     0     500
          2.769e-06  2.984e-06  2.876e-06     0     500
          2.984e-06  3.198e-06  3.091e-06     0     500
          3.198e-06  3.413e-06  3.305e-06     0     500
          3.413e-06  3.627e-06  3.520e-06     0     500
          3.627e-06  3.841e-06  3.734e-06     0     500
          3.841e-06  4.056e-06  3.949e-06     0     500
          4.056e-06  4.270e-06  4.163e-06     0     500
          4.270e-06  4.485e-06  4.378e-06     0     500
          4.485e-06  4.699e-06  4.592e-06     0     500
          4.699e-06  4.914e-06  4.806e-06     0     500
          4.914e-06  5.128e-06  5.021e-06     0     500
          5.128e-06  5.343e-06  5.235e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/CEERS_00397_Es649Lr
