!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
          3.169e-08  2.953e-07  1.635e-07     0       0
          2.953e-07  5.588e-07  4.270e-07     0       0
          5.588e-07  8.224e-07  6.906e-07   500     500
          8.224e-07  1.086e-06  9.542e-07     0     500
          1.086e-06  1.350e-06  1.218e-06     0     500
          1.350e-06  1.613e-06  1.481e-06     0     500
          1.613e-06  1.877e-06  1.745e-06     0     500
          1.877e-06  2.140e-06  2.008e-06     0     500
          2.140e-06  2.404e-06  2.272e-06     0     500
          2.404e-06  2.667e-06  2.536e-06     0     500
          2.667e-06  2.931e-06  2.799e-06     0     500
          2.931e-06  3.194e-06  3.063e-06     0     500
          3.194e-06  3.458e-06  3.326e-06     0     500
          3.458e-06  3.722e-06  3.590e-06     0     500
          3.722e-06  3.985e-06  3.853e-06     0     500
          3.985e-06  4.249e-06  4.117e-06     0     500
          4.249e-06  4.512e-06  4.380e-06     0     500
          4.512e-06  4.776e-06  4.644e-06     0     500
          4.776e-06  5.039e-06  4.908e-06     0     500
          5.039e-06  5.303e-06  5.171e-06     0     500
          5.303e-06  5.567e-06  5.435e-06     0     500
          5.567e-06  5.830e-06  5.698e-06     0     500
          5.830e-06  6.094e-06  5.962e-06     0     500
          6.094e-06  6.357e-06  6.225e-06     0     500
          6.357e-06  6.621e-06  6.489e-06     0     500
          6.621e-06  6.884e-06  6.753e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/CEERS_00672_oE621zR
