!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
          3.096e-07  5.312e-07  4.204e-07     0       0
          5.312e-07  7.527e-07  6.420e-07     0       0
          7.527e-07  9.743e-07  8.635e-07   500     500
          9.743e-07  1.196e-06  1.085e-06     0     500
          1.196e-06  1.417e-06  1.307e-06     0     500
          1.417e-06  1.639e-06  1.528e-06     0     500
          1.639e-06  1.861e-06  1.750e-06     0     500
          1.861e-06  2.082e-06  1.971e-06     0     500
          2.082e-06  2.304e-06  2.193e-06     0     500
          2.304e-06  2.525e-06  2.415e-06     0     500
          2.525e-06  2.747e-06  2.636e-06     0     500
          2.747e-06  2.969e-06  2.858e-06     0     500
          2.969e-06  3.190e-06  3.079e-06     0     500
          3.190e-06  3.412e-06  3.301e-06     0     500
          3.412e-06  3.633e-06  3.523e-06     0     500
          3.633e-06  3.855e-06  3.744e-06     0     500
          3.855e-06  4.077e-06  3.966e-06     0     500
          4.077e-06  4.298e-06  4.187e-06     0     500
          4.298e-06  4.520e-06  4.409e-06     0     500
          4.520e-06  4.741e-06  4.630e-06     0     500
          4.741e-06  4.963e-06  4.852e-06     0     500
          4.963e-06  5.184e-06  5.074e-06     0     500
          5.184e-06  5.406e-06  5.295e-06     0     500
          5.406e-06  5.628e-06  5.517e-06     0     500
          5.628e-06  5.849e-06  5.738e-06     0     500
          5.849e-06  6.071e-06  5.960e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/CEERS_00717_AR310ox
