!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
         -1.841e-06 -1.745e-06 -1.793e-06     0       0
         -1.745e-06 -1.650e-06 -1.697e-06     0       0
         -1.650e-06 -1.554e-06 -1.602e-06   500     500
         -1.554e-06 -1.459e-06 -1.507e-06     0     500
         -1.459e-06 -1.363e-06 -1.411e-06     0     500
         -1.363e-06 -1.268e-06 -1.316e-06     0     500
         -1.268e-06 -1.172e-06 -1.220e-06     0     500
         -1.172e-06 -1.077e-06 -1.125e-06     0     500
         -1.077e-06 -9.815e-07 -1.029e-06     0     500
         -9.815e-07 -8.860e-07 -9.338e-07     0     500
         -8.860e-07 -7.906e-07 -8.383e-07     0     500
         -7.906e-07 -6.951e-07 -7.429e-07     0     500
         -6.951e-07 -5.997e-07 -6.474e-07     0     500
         -5.997e-07 -5.042e-07 -5.519e-07     0     500
         -5.042e-07 -4.088e-07 -4.565e-07     0     500
         -4.088e-07 -3.133e-07 -3.610e-07     0     500
         -3.133e-07 -2.178e-07 -2.656e-07     0     500
         -2.178e-07 -1.224e-07 -1.701e-07     0     500
         -1.224e-07 -2.693e-08 -7.466e-08     0     500
         -2.693e-08  6.853e-08  2.080e-08     0     500
          6.853e-08  1.640e-07  1.163e-07     0     500
          1.640e-07  2.594e-07  2.117e-07     0     500
          2.594e-07  3.549e-07  3.072e-07     0     500
          3.549e-07  4.504e-07  4.026e-07     0     500
          4.504e-07  5.458e-07  4.981e-07     0     500
          5.458e-07  6.413e-07  5.935e-07     0     500
!Created by ./stackanalysis_v4.pl in Users/CEERS_00746_hQ563oa
