!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
          4.206e-08  3.567e-07  1.994e-07     0       0
          3.567e-07  6.713e-07  5.140e-07     0       0
          6.713e-07  9.859e-07  8.286e-07   500     500
          9.859e-07  1.300e-06  1.143e-06     0     500
          1.300e-06  1.615e-06  1.458e-06     0     500
          1.615e-06  1.930e-06  1.772e-06     0     500
          1.930e-06  2.244e-06  2.087e-06     0     500
          2.244e-06  2.559e-06  2.402e-06     0     500
          2.559e-06  2.873e-06  2.716e-06     0     500
          2.873e-06  3.188e-06  3.031e-06     0     500
          3.188e-06  3.503e-06  3.345e-06     0     500
          3.503e-06  3.817e-06  3.660e-06     0     500
          3.817e-06  4.132e-06  3.975e-06     0     500
          4.132e-06  4.447e-06  4.289e-06     0     500
          4.447e-06  4.761e-06  4.604e-06     0     500
          4.761e-06  5.076e-06  4.918e-06     0     500
          5.076e-06  5.390e-06  5.233e-06     0     500
          5.390e-06  5.705e-06  5.548e-06     0     500
          5.705e-06  6.020e-06  5.862e-06     0     500
          6.020e-06  6.334e-06  6.177e-06     0     500
          6.334e-06  6.649e-06  6.491e-06     0     500
          6.649e-06  6.963e-06  6.806e-06     0     500
          6.963e-06  7.278e-06  7.121e-06     0     500
          7.278e-06  7.593e-06  7.435e-06     0     500
          7.593e-06  7.907e-06  7.750e-06     0     500
          7.907e-06  8.222e-06  8.064e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/CEERS_01236_Ld152KD
