!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
         -8.343e-06 -8.010e-06 -8.177e-06     0       0
         -8.010e-06 -7.677e-06 -7.844e-06     0       0
         -7.677e-06 -7.344e-06 -7.510e-06   500     500
         -7.344e-06 -7.011e-06 -7.177e-06     0     500
         -7.011e-06 -6.677e-06 -6.844e-06     0     500
         -6.677e-06 -6.344e-06 -6.511e-06     0     500
         -6.344e-06 -6.011e-06 -6.178e-06     0     500
         -6.011e-06 -5.678e-06 -5.844e-06     0     500
         -5.678e-06 -5.345e-06 -5.511e-06     0     500
         -5.345e-06 -5.011e-06 -5.178e-06     0     500
         -5.011e-06 -4.678e-06 -4.845e-06     0     500
         -4.678e-06 -4.345e-06 -4.512e-06     0     500
         -4.345e-06 -4.012e-06 -4.178e-06     0     500
         -4.012e-06 -3.679e-06 -3.845e-06     0     500
         -3.679e-06 -3.345e-06 -3.512e-06     0     500
         -3.345e-06 -3.012e-06 -3.179e-06     0     500
         -3.012e-06 -2.679e-06 -2.846e-06     0     500
         -2.679e-06 -2.346e-06 -2.512e-06     0     500
         -2.346e-06 -2.013e-06 -2.179e-06     0     500
         -2.013e-06 -1.679e-06 -1.846e-06     0     500
         -1.679e-06 -1.346e-06 -1.513e-06     0     500
         -1.346e-06 -1.013e-06 -1.180e-06     0     500
         -1.013e-06 -6.799e-07 -8.465e-07     0     500
         -6.799e-07 -3.467e-07 -5.133e-07     0     500
         -3.467e-07 -1.348e-08 -1.801e-07     0     500
         -1.348e-08  3.197e-07  1.531e-07     0     500
!Created by ./stackanalysis_v4.pl in Users/CEERS_01244_EW291iK
