!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
          9.021e-06  9.490e-06  9.256e-06     0       0
          9.490e-06  9.959e-06  9.725e-06     0       0
          9.959e-06  1.043e-05  1.019e-05   500     500
          1.043e-05  1.090e-05  1.066e-05     0     500
          1.090e-05  1.137e-05  1.113e-05     0     500
          1.137e-05  1.184e-05  1.160e-05     0     500
          1.184e-05  1.231e-05  1.207e-05     0     500
          1.231e-05  1.277e-05  1.254e-05     0     500
          1.277e-05  1.324e-05  1.301e-05     0     500
          1.324e-05  1.371e-05  1.348e-05     0     500
          1.371e-05  1.418e-05  1.395e-05     0     500
          1.418e-05  1.465e-05  1.442e-05     0     500
          1.465e-05  1.512e-05  1.489e-05     0     500
          1.512e-05  1.559e-05  1.536e-05     0     500
          1.559e-05  1.606e-05  1.582e-05     0     500
          1.606e-05  1.653e-05  1.629e-05     0     500
          1.653e-05  1.700e-05  1.676e-05     0     500
          1.700e-05  1.747e-05  1.723e-05     0     500
          1.747e-05  1.794e-05  1.770e-05     0     500
          1.794e-05  1.841e-05  1.817e-05     0     500
          1.841e-05  1.887e-05  1.864e-05     0     500
          1.887e-05  1.934e-05  1.911e-05     0     500
          1.934e-05  1.981e-05  1.958e-05     0     500
          1.981e-05  2.028e-05  2.005e-05     0     500
          2.028e-05  2.075e-05  2.052e-05     0     500
          2.075e-05  2.122e-05  2.099e-05     0     500
!Created by ./stackanalysis_v4.pl in Users/CEERS_01665_Zm663yD
