!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
         -2.415e-06 -2.285e-06 -2.350e-06     0       0
         -2.285e-06 -2.155e-06 -2.220e-06     0       0
         -2.155e-06 -2.026e-06 -2.091e-06   500     500
         -2.026e-06 -1.896e-06 -1.961e-06     0     500
         -1.896e-06 -1.766e-06 -1.831e-06     0     500
         -1.766e-06 -1.637e-06 -1.701e-06     0     500
         -1.637e-06 -1.507e-06 -1.572e-06     0     500
         -1.507e-06 -1.377e-06 -1.442e-06     0     500
         -1.377e-06 -1.248e-06 -1.312e-06     0     500
         -1.248e-06 -1.118e-06 -1.183e-06     0     500
         -1.118e-06 -9.881e-07 -1.053e-06     0     500
         -9.881e-07 -8.584e-07 -9.233e-07     0     500
         -8.584e-07 -7.287e-07 -7.936e-07     0     500
         -7.287e-07 -5.990e-07 -6.639e-07     0     500
         -5.990e-07 -4.693e-07 -5.342e-07     0     500
         -4.693e-07 -3.396e-07 -4.045e-07     0     500
         -3.396e-07 -2.099e-07 -2.748e-07     0     500
         -2.099e-07 -8.024e-08 -1.451e-07     0     500
         -8.024e-08  4.946e-08 -1.539e-08     0     500
          4.946e-08  1.792e-07  1.143e-07     0     500
          1.792e-07  3.089e-07  2.440e-07     0     500
          3.089e-07  4.385e-07  3.737e-07     0     500
          4.385e-07  5.682e-07  5.034e-07     0     500
          5.682e-07  6.979e-07  6.331e-07     0     500
          6.979e-07  8.276e-07  7.628e-07     0     500
          8.276e-07  9.573e-07  8.925e-07     0     500
!Created by ./stackanalysis_v4.pl in Users/CEERS_02782_oM844Xu
