!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
          2.936e-06  3.295e-06  3.116e-06     0       0
          3.295e-06  3.654e-06  3.474e-06     0       0
          3.654e-06  4.012e-06  3.833e-06   500     500
          4.012e-06  4.371e-06  4.192e-06     0     500
          4.371e-06  4.730e-06  4.551e-06     0     500
          4.730e-06  5.089e-06  4.909e-06     0     500
          5.089e-06  5.447e-06  5.268e-06     0     500
          5.447e-06  5.806e-06  5.627e-06     0     500
          5.806e-06  6.165e-06  5.985e-06     0     500
          6.165e-06  6.524e-06  6.344e-06     0     500
          6.524e-06  6.882e-06  6.703e-06     0     500
          6.882e-06  7.241e-06  7.062e-06     0     500
          7.241e-06  7.600e-06  7.420e-06     0     500
          7.600e-06  7.958e-06  7.779e-06     0     500
          7.958e-06  8.317e-06  8.138e-06     0     500
          8.317e-06  8.676e-06  8.497e-06     0     500
          8.676e-06  9.035e-06  8.855e-06     0     500
          9.035e-06  9.393e-06  9.214e-06     0     500
          9.393e-06  9.752e-06  9.573e-06     0     500
          9.752e-06  1.011e-05  9.932e-06     0     500
          1.011e-05  1.047e-05  1.029e-05     0     500
          1.047e-05  1.083e-05  1.065e-05     0     500
          1.083e-05  1.119e-05  1.101e-05     0     500
          1.119e-05  1.155e-05  1.137e-05     0     500
          1.155e-05  1.190e-05  1.173e-05     0     500
          1.190e-05  1.226e-05  1.208e-05     0     500
!Created by ./stackanalysis_v4.pl in Users/GOODS_N_12839_rz678Cf
