!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
          3.791e-06  4.080e-06  3.936e-06     0       0
          4.080e-06  4.369e-06  4.225e-06     0       0
          4.369e-06  4.658e-06  4.514e-06   500     500
          4.658e-06  4.947e-06  4.803e-06     0     500
          4.947e-06  5.236e-06  5.092e-06     0     500
          5.236e-06  5.525e-06  5.381e-06     0     500
          5.525e-06  5.814e-06  5.670e-06     0     500
          5.814e-06  6.103e-06  5.959e-06     0     500
          6.103e-06  6.392e-06  6.248e-06     0     500
          6.392e-06  6.681e-06  6.537e-06     0     500
          6.681e-06  6.970e-06  6.826e-06     0     500
          6.970e-06  7.259e-06  7.115e-06     0     500
          7.259e-06  7.548e-06  7.404e-06     0     500
          7.548e-06  7.837e-06  7.693e-06     0     500
          7.837e-06  8.126e-06  7.982e-06     0     500
          8.126e-06  8.415e-06  8.271e-06     0     500
          8.415e-06  8.704e-06  8.560e-06     0     500
          8.704e-06  8.993e-06  8.849e-06     0     500
          8.993e-06  9.282e-06  9.138e-06     0     500
          9.282e-06  9.571e-06  9.427e-06     0     500
          9.571e-06  9.860e-06  9.716e-06     0     500
          9.860e-06  1.015e-05  1.000e-05     0     500
          1.015e-05  1.044e-05  1.029e-05     0     500
          1.044e-05  1.073e-05  1.058e-05     0     500
          1.073e-05  1.102e-05  1.087e-05     0     500
          1.102e-05  1.131e-05  1.116e-05     0     500
!Created by ./stackanalysis_v4.pl in Users/GOODS_N_13733_hA724PA
