!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
         -4.291e-07 -2.384e-07 -3.338e-07     0       0
         -2.384e-07 -4.781e-08 -1.431e-07     0       0
         -4.781e-08  1.428e-07  4.751e-08   500     500
          1.428e-07  3.335e-07  2.381e-07     0     500
          3.335e-07  5.241e-07  4.288e-07     0     500
          5.241e-07  7.147e-07  6.194e-07     0     500
          7.147e-07  9.054e-07  8.101e-07     0     500
          9.054e-07  1.096e-06  1.001e-06     0     500
          1.096e-06  1.287e-06  1.191e-06     0     500
          1.287e-06  1.477e-06  1.382e-06     0     500
          1.477e-06  1.668e-06  1.573e-06     0     500
          1.668e-06  1.859e-06  1.763e-06     0     500
          1.859e-06  2.049e-06  1.954e-06     0     500
          2.049e-06  2.240e-06  2.145e-06     0     500
          2.240e-06  2.430e-06  2.335e-06     0     500
          2.430e-06  2.621e-06  2.526e-06     0     500
          2.621e-06  2.812e-06  2.716e-06     0     500
          2.812e-06  3.002e-06  2.907e-06     0     500
          3.002e-06  3.193e-06  3.098e-06     0     500
          3.193e-06  3.384e-06  3.288e-06     0     500
          3.384e-06  3.574e-06  3.479e-06     0     500
          3.574e-06  3.765e-06  3.670e-06     0     500
          3.765e-06  3.956e-06  3.860e-06     0     500
          3.956e-06  4.146e-06  4.051e-06     0     500
          4.146e-06  4.337e-06  4.242e-06     0     500
          4.337e-06  4.528e-06  4.432e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/GOODS_N_4014_vr406ph
