!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
          6.433e-07  7.524e-07  6.978e-07     0       0
          7.524e-07  8.615e-07  8.069e-07     0       0
          8.615e-07  9.706e-07  9.160e-07   500     500
          9.706e-07  1.080e-06  1.025e-06     0     500
          1.080e-06  1.189e-06  1.134e-06     0     500
          1.189e-06  1.298e-06  1.243e-06     0     500
          1.298e-06  1.407e-06  1.352e-06     0     500
          1.407e-06  1.516e-06  1.461e-06     0     500
          1.516e-06  1.625e-06  1.571e-06     0     500
          1.625e-06  1.734e-06  1.680e-06     0     500
          1.734e-06  1.843e-06  1.789e-06     0     500
          1.843e-06  1.952e-06  1.898e-06     0     500
          1.952e-06  2.061e-06  2.007e-06     0     500
          2.061e-06  2.171e-06  2.116e-06     0     500
          2.171e-06  2.280e-06  2.225e-06     0     500
          2.280e-06  2.389e-06  2.334e-06     0     500
          2.389e-06  2.498e-06  2.443e-06     0     500
          2.498e-06  2.607e-06  2.552e-06     0     500
          2.607e-06  2.716e-06  2.661e-06     0     500
          2.716e-06  2.825e-06  2.771e-06     0     500
          2.825e-06  2.934e-06  2.880e-06     0     500
          2.934e-06  3.043e-06  2.989e-06     0     500
          3.043e-06  3.152e-06  3.098e-06     0     500
          3.152e-06  3.262e-06  3.207e-06     0     500
          3.262e-06  3.371e-06  3.316e-06     0     500
          3.371e-06  3.480e-06  3.425e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/GOODS_N_4014_vr406ph
