!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
          1.025e-06  1.127e-06  1.076e-06     0       0
          1.127e-06  1.228e-06  1.177e-06     0       0
          1.228e-06  1.330e-06  1.279e-06   500     500
          1.330e-06  1.432e-06  1.381e-06     0     500
          1.432e-06  1.534e-06  1.483e-06     0     500
          1.534e-06  1.636e-06  1.585e-06     0     500
          1.636e-06  1.738e-06  1.687e-06     0     500
          1.738e-06  1.840e-06  1.789e-06     0     500
          1.840e-06  1.942e-06  1.891e-06     0     500
          1.942e-06  2.044e-06  1.993e-06     0     500
          2.044e-06  2.145e-06  2.095e-06     0     500
          2.145e-06  2.247e-06  2.196e-06     0     500
          2.247e-06  2.349e-06  2.298e-06     0     500
          2.349e-06  2.451e-06  2.400e-06     0     500
          2.451e-06  2.553e-06  2.502e-06     0     500
          2.553e-06  2.655e-06  2.604e-06     0     500
          2.655e-06  2.757e-06  2.706e-06     0     500
          2.757e-06  2.859e-06  2.808e-06     0     500
          2.859e-06  2.961e-06  2.910e-06     0     500
          2.961e-06  3.062e-06  3.012e-06     0     500
          3.062e-06  3.164e-06  3.113e-06     0     500
          3.164e-06  3.266e-06  3.215e-06     0     500
          3.266e-06  3.368e-06  3.317e-06     0     500
          3.368e-06  3.470e-06  3.419e-06     0     500
          3.470e-06  3.572e-06  3.521e-06     0     500
          3.572e-06  3.674e-06  3.623e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/GOODS_N_9771_kW017JV
