!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
         -4.307e-07 -4.123e-07 -4.215e-07     0       0
         -4.123e-07 -3.939e-07 -4.031e-07     0       0
         -3.939e-07 -3.755e-07 -3.847e-07   500     500
         -3.755e-07 -3.571e-07 -3.663e-07     0     500
         -3.571e-07 -3.387e-07 -3.479e-07     0     500
         -3.387e-07 -3.203e-07 -3.295e-07     0     500
         -3.203e-07 -3.019e-07 -3.111e-07     0     500
         -3.019e-07 -2.834e-07 -2.926e-07     0     500
         -2.834e-07 -2.650e-07 -2.742e-07     0     500
         -2.650e-07 -2.466e-07 -2.558e-07     0     500
         -2.466e-07 -2.282e-07 -2.374e-07     0     500
         -2.282e-07 -2.098e-07 -2.190e-07     0     500
         -2.098e-07 -1.914e-07 -2.006e-07     0     500
         -1.914e-07 -1.730e-07 -1.822e-07     0     500
         -1.730e-07 -1.545e-07 -1.638e-07     0     500
         -1.545e-07 -1.361e-07 -1.453e-07     0     500
         -1.361e-07 -1.177e-07 -1.269e-07     0     500
         -1.177e-07 -9.931e-08 -1.085e-07     0     500
         -9.931e-08 -8.090e-08 -9.011e-08     0     500
         -8.090e-08 -6.249e-08 -7.169e-08     0     500
         -6.249e-08 -4.407e-08 -5.328e-08     0     500
         -4.407e-08 -2.566e-08 -3.487e-08     0     500
         -2.566e-08 -7.249e-09 -1.646e-08     0     500
         -7.249e-09  1.116e-08  1.957e-09     0     500
          1.116e-08  2.958e-08  2.037e-08     0     500
          2.958e-08  4.799e-08  3.878e-08     0     500
!Created by ./stackanalysis_v4.pl in Users/GOODS_S_13971_HO000sw
