!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
          7.005e-06  7.301e-06  7.153e-06     0       0
          7.301e-06  7.597e-06  7.449e-06     0       0
          7.597e-06  7.893e-06  7.745e-06   500     500
          7.893e-06  8.189e-06  8.041e-06     0     500
          8.189e-06  8.485e-06  8.337e-06     0     500
          8.485e-06  8.781e-06  8.633e-06     0     500
          8.781e-06  9.076e-06  8.929e-06     0     500
          9.076e-06  9.372e-06  9.224e-06     0     500
          9.372e-06  9.668e-06  9.520e-06     0     500
          9.668e-06  9.964e-06  9.816e-06     0     500
          9.964e-06  1.026e-05  1.011e-05     0     500
          1.026e-05  1.056e-05  1.041e-05     0     500
          1.056e-05  1.085e-05  1.070e-05     0     500
          1.085e-05  1.115e-05  1.100e-05     0     500
          1.115e-05  1.144e-05  1.130e-05     0     500
          1.144e-05  1.174e-05  1.159e-05     0     500
          1.174e-05  1.204e-05  1.189e-05     0     500
          1.204e-05  1.233e-05  1.218e-05     0     500
          1.233e-05  1.263e-05  1.248e-05     0     500
          1.263e-05  1.292e-05  1.278e-05     0     500
          1.292e-05  1.322e-05  1.307e-05     0     500
          1.322e-05  1.352e-05  1.337e-05     0     500
          1.352e-05  1.381e-05  1.366e-05     0     500
          1.381e-05  1.411e-05  1.396e-05     0     500
          1.411e-05  1.440e-05  1.426e-05     0     500
          1.440e-05  1.470e-05  1.455e-05     0     500
!Created by ./stackanalysis_v4.pl in Users/GOOD_N_16813_LC250RA
