!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
         -6.794e-07 -6.131e-07 -6.463e-07     0       0
         -6.131e-07 -5.469e-07 -5.800e-07     0       0
         -5.469e-07 -4.807e-07 -5.138e-07   500     500
         -4.807e-07 -4.144e-07 -4.475e-07     0     500
         -4.144e-07 -3.482e-07 -3.813e-07     0     500
         -3.482e-07 -2.819e-07 -3.150e-07     0     500
         -2.819e-07 -2.157e-07 -2.488e-07     0     500
         -2.157e-07 -1.494e-07 -1.826e-07     0     500
         -1.494e-07 -8.319e-08 -1.163e-07     0     500
         -8.319e-08 -1.695e-08 -5.007e-08     0     500
         -1.695e-08  4.929e-08  1.617e-08     0     500
          4.929e-08  1.155e-07  8.241e-08     0     500
          1.155e-07  1.818e-07  1.487e-07     0     500
          1.818e-07  2.480e-07  2.149e-07     0     500
          2.480e-07  3.143e-07  2.811e-07     0     500
          3.143e-07  3.805e-07  3.474e-07     0     500
          3.805e-07  4.468e-07  4.136e-07     0     500
          4.468e-07  5.130e-07  4.799e-07     0     500
          5.130e-07  5.792e-07  5.461e-07     0     500
          5.792e-07  6.455e-07  6.124e-07     0     500
          6.455e-07  7.117e-07  6.786e-07     0     500
          7.117e-07  7.780e-07  7.448e-07     0     500
          7.780e-07  8.442e-07  8.111e-07     0     500
          8.442e-07  9.105e-07  8.773e-07     0     500
          9.105e-07  9.767e-07  9.436e-07     0     500
          9.767e-07  1.043e-06  1.010e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/M23_10013704_2_KU420lm
