!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
         -5.593e-07 -3.724e-07 -4.658e-07     0       0
         -3.724e-07 -1.855e-07 -2.789e-07     0       0
         -1.855e-07  1.405e-09 -9.204e-08   500     500
          1.405e-09  1.883e-07  9.485e-08     0     500
          1.883e-07  3.752e-07  2.817e-07     0     500
          3.752e-07  5.621e-07  4.686e-07     0     500
          5.621e-07  7.490e-07  6.555e-07     0     500
          7.490e-07  9.359e-07  8.424e-07     0     500
          9.359e-07  1.123e-06  1.029e-06     0     500
          1.123e-06  1.310e-06  1.216e-06     0     500
          1.310e-06  1.497e-06  1.403e-06     0     500
          1.497e-06  1.683e-06  1.590e-06     0     500
          1.683e-06  1.870e-06  1.777e-06     0     500
          1.870e-06  2.057e-06  1.964e-06     0     500
          2.057e-06  2.244e-06  2.151e-06     0     500
          2.244e-06  2.431e-06  2.338e-06     0     500
          2.431e-06  2.618e-06  2.524e-06     0     500
          2.618e-06  2.805e-06  2.711e-06     0     500
          2.805e-06  2.992e-06  2.898e-06     0     500
          2.992e-06  3.179e-06  3.085e-06     0     500
          3.179e-06  3.366e-06  3.272e-06     0     500
          3.366e-06  3.552e-06  3.459e-06     0     500
          3.552e-06  3.739e-06  3.646e-06     0     500
          3.739e-06  3.926e-06  3.833e-06     0     500
          3.926e-06  4.113e-06  4.020e-06     0     500
          4.113e-06  4.300e-06  4.207e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/M23_20621_sJ985CO
