!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
          9.595e-07  1.169e-06  1.064e-06     0       0
          1.169e-06  1.379e-06  1.274e-06     0       0
          1.379e-06  1.588e-06  1.483e-06   500     500
          1.588e-06  1.798e-06  1.693e-06     0     500
          1.798e-06  2.007e-06  1.902e-06     0     500
          2.007e-06  2.217e-06  2.112e-06     0     500
          2.217e-06  2.426e-06  2.321e-06     0     500
          2.426e-06  2.636e-06  2.531e-06     0     500
          2.636e-06  2.845e-06  2.740e-06     0     500
          2.845e-06  3.055e-06  2.950e-06     0     500
          3.055e-06  3.264e-06  3.160e-06     0     500
          3.264e-06  3.474e-06  3.369e-06     0     500
          3.474e-06  3.683e-06  3.579e-06     0     500
          3.683e-06  3.893e-06  3.788e-06     0     500
          3.893e-06  4.102e-06  3.998e-06     0     500
          4.102e-06  4.312e-06  4.207e-06     0     500
          4.312e-06  4.521e-06  4.417e-06     0     500
          4.521e-06  4.731e-06  4.626e-06     0     500
          4.731e-06  4.941e-06  4.836e-06     0     500
          4.941e-06  5.150e-06  5.045e-06     0     500
          5.150e-06  5.360e-06  5.255e-06     0     500
          5.360e-06  5.569e-06  5.464e-06     0     500
          5.569e-06  5.779e-06  5.674e-06     0     500
          5.779e-06  5.988e-06  5.883e-06     0     500
          5.988e-06  6.198e-06  6.093e-06     0     500
          6.198e-06  6.407e-06  6.302e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/M23_3608_Gi806Bk
