!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
          7.804e-06  8.052e-06  7.928e-06     0       0
          8.052e-06  8.301e-06  8.177e-06     0       0
          8.301e-06  8.550e-06  8.425e-06   500     500
          8.550e-06  8.798e-06  8.674e-06     0     500
          8.798e-06  9.047e-06  8.923e-06     0     500
          9.047e-06  9.296e-06  9.171e-06     0     500
          9.296e-06  9.544e-06  9.420e-06     0     500
          9.544e-06  9.793e-06  9.669e-06     0     500
          9.793e-06  1.004e-05  9.917e-06     0     500
          1.004e-05  1.029e-05  1.017e-05     0     500
          1.029e-05  1.054e-05  1.041e-05     0     500
          1.054e-05  1.079e-05  1.066e-05     0     500
          1.079e-05  1.104e-05  1.091e-05     0     500
          1.104e-05  1.128e-05  1.116e-05     0     500
          1.128e-05  1.153e-05  1.141e-05     0     500
          1.153e-05  1.178e-05  1.166e-05     0     500
          1.178e-05  1.203e-05  1.191e-05     0     500
          1.203e-05  1.228e-05  1.215e-05     0     500
          1.228e-05  1.253e-05  1.240e-05     0     500
          1.253e-05  1.278e-05  1.265e-05     0     500
          1.278e-05  1.303e-05  1.290e-05     0     500
          1.303e-05  1.327e-05  1.315e-05     0     500
          1.327e-05  1.352e-05  1.340e-05     0     500
          1.352e-05  1.377e-05  1.365e-05     0     500
          1.377e-05  1.402e-05  1.390e-05     0     500
          1.402e-05  1.427e-05  1.414e-05     0     500
!Created by ./stackanalysis_v4.pl in Users/M23_53757_2_fF888Cf
