!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
         -5.396e-07 -5.010e-07 -5.203e-07     0       0
         -5.010e-07 -4.624e-07 -4.817e-07     0       0
         -4.624e-07 -4.237e-07 -4.430e-07   500     500
         -4.237e-07 -3.851e-07 -4.044e-07     0     500
         -3.851e-07 -3.465e-07 -3.658e-07     0     500
         -3.465e-07 -3.078e-07 -3.271e-07     0     500
         -3.078e-07 -2.692e-07 -2.885e-07     0     500
         -2.692e-07 -2.306e-07 -2.499e-07     0     500
         -2.306e-07 -1.919e-07 -2.112e-07     0     500
         -1.919e-07 -1.533e-07 -1.726e-07     0     500
         -1.533e-07 -1.147e-07 -1.340e-07     0     500
         -1.147e-07 -7.602e-08 -9.534e-08     0     500
         -7.602e-08 -3.739e-08 -5.671e-08     0     500
         -3.739e-08  1.245e-09 -1.807e-08     0     500
          1.245e-09  3.988e-08  2.056e-08     0     500
          3.988e-08  7.851e-08  5.920e-08     0     500
          7.851e-08  1.171e-07  9.783e-08     0     500
          1.171e-07  1.558e-07  1.365e-07     0     500
          1.558e-07  1.944e-07  1.751e-07     0     500
          1.944e-07  2.330e-07  2.137e-07     0     500
          2.330e-07  2.717e-07  2.524e-07     0     500
          2.717e-07  3.103e-07  2.910e-07     0     500
          3.103e-07  3.489e-07  3.296e-07     0     500
          3.489e-07  3.876e-07  3.683e-07     0     500
          3.876e-07  4.262e-07  4.069e-07     0     500
          4.262e-07  4.648e-07  4.455e-07     0     500
!Created by ./stackanalysis_v4.pl in Users/M23_61888_sD726xk
