!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
          9.107e-07  1.008e-06  9.593e-07     0       0
          1.008e-06  1.105e-06  1.056e-06     0       0
          1.105e-06  1.202e-06  1.154e-06   500     500
          1.202e-06  1.299e-06  1.251e-06     0     500
          1.299e-06  1.396e-06  1.348e-06     0     500
          1.396e-06  1.493e-06  1.445e-06     0     500
          1.493e-06  1.591e-06  1.542e-06     0     500
          1.591e-06  1.688e-06  1.639e-06     0     500
          1.688e-06  1.785e-06  1.736e-06     0     500
          1.785e-06  1.882e-06  1.833e-06     0     500
          1.882e-06  1.979e-06  1.930e-06     0     500
          1.979e-06  2.076e-06  2.028e-06     0     500
          2.076e-06  2.173e-06  2.125e-06     0     500
          2.173e-06  2.270e-06  2.222e-06     0     500
          2.270e-06  2.367e-06  2.319e-06     0     500
          2.367e-06  2.465e-06  2.416e-06     0     500
          2.465e-06  2.562e-06  2.513e-06     0     500
          2.562e-06  2.659e-06  2.610e-06     0     500
          2.659e-06  2.756e-06  2.707e-06     0     500
          2.756e-06  2.853e-06  2.804e-06     0     500
          2.853e-06  2.950e-06  2.902e-06     0     500
          2.950e-06  3.047e-06  2.999e-06     0     500
          3.047e-06  3.144e-06  3.096e-06     0     500
          3.144e-06  3.242e-06  3.193e-06     0     500
          3.242e-06  3.339e-06  3.290e-06     0     500
          3.339e-06  3.436e-06  3.387e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/M23_73488_2_Ys339lq
