!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
         -5.964e-07 -4.998e-07 -5.481e-07     0       0
         -4.998e-07 -4.032e-07 -4.515e-07     0       0
         -4.032e-07 -3.066e-07 -3.549e-07   500     500
         -3.066e-07 -2.099e-07 -2.582e-07     0     500
         -2.099e-07 -1.133e-07 -1.616e-07     0     500
         -1.133e-07 -1.673e-08 -6.503e-08     0     500
         -1.673e-08  7.988e-08  3.158e-08     0     500
          7.988e-08  1.765e-07  1.282e-07     0     500
          1.765e-07  2.731e-07  2.248e-07     0     500
          2.731e-07  3.697e-07  3.214e-07     0     500
          3.697e-07  4.663e-07  4.180e-07     0     500
          4.663e-07  5.629e-07  5.146e-07     0     500
          5.629e-07  6.595e-07  6.112e-07     0     500
          6.595e-07  7.561e-07  7.078e-07     0     500
          7.561e-07  8.528e-07  8.044e-07     0     500
          8.528e-07  9.494e-07  9.011e-07     0     500
          9.494e-07  1.046e-06  9.977e-07     0     500
          1.046e-06  1.143e-06  1.094e-06     0     500
          1.143e-06  1.239e-06  1.191e-06     0     500
          1.239e-06  1.336e-06  1.287e-06     0     500
          1.336e-06  1.432e-06  1.384e-06     0     500
          1.432e-06  1.529e-06  1.481e-06     0     500
          1.529e-06  1.626e-06  1.577e-06     0     500
          1.626e-06  1.722e-06  1.674e-06     0     500
          1.722e-06  1.819e-06  1.771e-06     0     500
          1.819e-06  1.915e-06  1.867e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/M23_77652_Pd671vf
