!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
         -3.274e-08 -7.152e-10 -1.673e-08     0       0
         -7.152e-10  3.131e-08  1.530e-08     0       0
          3.131e-08  6.334e-08  4.733e-08   500     500
          6.334e-08  9.537e-08  7.935e-08     0     500
          9.537e-08  1.274e-07  1.114e-07     0     500
          1.274e-07  1.594e-07  1.434e-07     0     500
          1.594e-07  1.915e-07  1.754e-07     0     500
          1.915e-07  2.235e-07  2.075e-07     0     500
          2.235e-07  2.555e-07  2.395e-07     0     500
          2.555e-07  2.875e-07  2.715e-07     0     500
          2.875e-07  3.196e-07  3.035e-07     0     500
          3.196e-07  3.516e-07  3.356e-07     0     500
          3.516e-07  3.836e-07  3.676e-07     0     500
          3.836e-07  4.156e-07  3.996e-07     0     500
          4.156e-07  4.477e-07  4.317e-07     0     500
          4.477e-07  4.797e-07  4.637e-07     0     500
          4.797e-07  5.117e-07  4.957e-07     0     500
          5.117e-07  5.438e-07  5.277e-07     0     500
          5.438e-07  5.758e-07  5.598e-07     0     500
          5.758e-07  6.078e-07  5.918e-07     0     500
          6.078e-07  6.398e-07  6.238e-07     0     500
          6.398e-07  6.719e-07  6.558e-07     0     500
          6.719e-07  7.039e-07  6.879e-07     0     500
          7.039e-07  7.359e-07  7.199e-07     0     500
          7.359e-07  7.679e-07  7.519e-07     0     500
          7.679e-07  8.000e-07  7.840e-07     0     500
!Created by ./stackanalysis_v4.pl in Users/M23_8083_cI621Nq
