!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
         -2.690e-06 -2.569e-06 -2.629e-06     0       0
         -2.569e-06 -2.448e-06 -2.509e-06     0       0
         -2.448e-06 -2.328e-06 -2.388e-06   500     500
         -2.328e-06 -2.207e-06 -2.267e-06     0     500
         -2.207e-06 -2.087e-06 -2.147e-06     0     500
         -2.087e-06 -1.966e-06 -2.026e-06     0     500
         -1.966e-06 -1.845e-06 -1.906e-06     0     500
         -1.845e-06 -1.725e-06 -1.785e-06     0     500
         -1.725e-06 -1.604e-06 -1.664e-06     0     500
         -1.604e-06 -1.484e-06 -1.544e-06     0     500
         -1.484e-06 -1.363e-06 -1.423e-06     0     500
         -1.363e-06 -1.242e-06 -1.303e-06     0     500
         -1.242e-06 -1.122e-06 -1.182e-06     0     500
         -1.122e-06 -1.001e-06 -1.061e-06     0     500
         -1.001e-06 -8.806e-07 -9.409e-07     0     500
         -8.806e-07 -7.600e-07 -8.203e-07     0     500
         -7.600e-07 -6.394e-07 -6.997e-07     0     500
         -6.394e-07 -5.188e-07 -5.791e-07     0     500
         -5.188e-07 -3.982e-07 -4.585e-07     0     500
         -3.982e-07 -2.776e-07 -3.379e-07     0     500
         -2.776e-07 -1.570e-07 -2.173e-07     0     500
         -1.570e-07 -3.638e-08 -9.668e-08     0     500
         -3.638e-08  8.422e-08  2.392e-08     0     500
          8.422e-08  2.048e-07  1.445e-07     0     500
          2.048e-07  3.254e-07  2.651e-07     0     500
          3.254e-07  4.460e-07  3.857e-07     0     500
!Created by ./stackanalysis_v4.pl in Users/M23_954_Gd550zi
