!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
         -3.746e-06 -3.327e-06 -3.537e-06     0       0
         -3.327e-06 -2.907e-06 -3.117e-06     0       0
         -2.907e-06 -2.487e-06 -2.697e-06     2       2
         -2.487e-06 -2.068e-06 -2.277e-06     2       4
         -2.068e-06 -1.648e-06 -1.858e-06     3       7
         -1.648e-06 -1.228e-06 -1.438e-06    11      18
         -1.228e-06 -8.084e-07 -1.018e-06    20      38
         -8.084e-07 -3.887e-07 -5.986e-07    26      64
         -3.887e-07  3.100e-08 -1.789e-07    58     122
          3.100e-08  4.507e-07  2.409e-07    53     175
          4.507e-07  8.704e-07  6.606e-07    59     234
          8.704e-07  1.290e-06  1.080e-06    66     300
          1.290e-06  1.710e-06  1.500e-06    60     360
          1.710e-06  2.130e-06  1.920e-06    41     401
          2.130e-06  2.549e-06  2.339e-06    40     441
          2.549e-06  2.969e-06  2.759e-06    22     463
          2.969e-06  3.389e-06  3.179e-06    14     477
          3.389e-06  3.808e-06  3.599e-06    11     488
          3.808e-06  4.228e-06  4.018e-06     6     494
          4.228e-06  4.648e-06  4.438e-06     3     497
          4.648e-06  5.068e-06  4.858e-06     0     497
          5.068e-06  5.487e-06  5.277e-06     2     499
          5.487e-06  5.907e-06  5.697e-06     1     500
          5.907e-06  6.327e-06  6.117e-06     0     500
          6.327e-06  6.746e-06  6.536e-06     0     500
          6.746e-06  7.166e-06  6.956e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/AEGISmaster_is090wC
