!       **** Bootstrap Histogram for 500_2000 ************
!           From       To        Ctr        Freq     Cum.
         -2.254e-06 -2.036e-06 -2.145e-06     0       0
         -2.036e-06 -1.819e-06 -1.928e-06     0       0
         -1.819e-06 -1.602e-06 -1.710e-06     3       3
         -1.602e-06 -1.384e-06 -1.493e-06     5       8
         -1.384e-06 -1.167e-06 -1.276e-06     3      11
         -1.167e-06 -9.497e-07 -1.058e-06    11      22
         -9.497e-07 -7.324e-07 -8.411e-07    32      54
         -7.324e-07 -5.150e-07 -6.237e-07    34      88
         -5.150e-07 -2.977e-07 -4.064e-07    45     133
         -2.977e-07 -8.034e-08 -1.890e-07    56     189
         -8.034e-08  1.370e-07  2.833e-08    60     249
          1.370e-07  3.544e-07  2.457e-07    49     298
          3.544e-07  5.717e-07  4.630e-07    45     343
          5.717e-07  7.891e-07  6.804e-07    51     394
          7.891e-07  1.006e-06  8.977e-07    26     420
          1.006e-06  1.224e-06  1.115e-06    28     448
          1.224e-06  1.441e-06  1.332e-06    22     470
          1.441e-06  1.658e-06  1.550e-06    17     487
          1.658e-06  1.876e-06  1.767e-06     2     489
          1.876e-06  2.093e-06  1.984e-06     7     496
          2.093e-06  2.311e-06  2.202e-06     1     497
          2.311e-06  2.528e-06  2.419e-06     2     499
          2.528e-06  2.745e-06  2.637e-06     1     500
          2.745e-06  2.963e-06  2.854e-06     0     500
          2.963e-06  3.180e-06  3.071e-06     0     500
          3.180e-06  3.397e-06  3.289e-06     0     500
!Created by ./stackanalysis_v4.pl in Users/CDFNmaster_nx769ij
