!       **** Bootstrap Histogram for 2000_8000 ************
!           From       To        Ctr        Freq     Cum.
         -1.847e-06 -1.761e-06 -1.804e-06     0       0
         -1.761e-06 -1.675e-06 -1.718e-06     0       0
         -1.675e-06 -1.588e-06 -1.631e-06    18      18
         -1.588e-06 -1.502e-06 -1.545e-06     0      18
         -1.502e-06 -1.416e-06 -1.459e-06     0      18
         -1.416e-06 -1.330e-06 -1.373e-06     0      18
         -1.330e-06 -1.243e-06 -1.287e-06    67      85
         -1.243e-06 -1.157e-06 -1.200e-06     0      85
         -1.157e-06 -1.071e-06 -1.114e-06    48     133
         -1.071e-06 -9.848e-07 -1.028e-06     0     133
         -9.848e-07 -8.986e-07 -9.417e-07    52     185
         -8.986e-07 -8.124e-07 -8.555e-07     0     185
         -8.124e-07 -7.261e-07 -7.693e-07   105     290
         -7.261e-07 -6.399e-07 -6.830e-07     0     290
         -6.399e-07 -5.537e-07 -5.968e-07    52     342
         -5.537e-07 -4.675e-07 -5.106e-07    20     362
         -4.675e-07 -3.813e-07 -4.244e-07     0     362
         -3.813e-07 -2.950e-07 -3.381e-07    57     419
         -2.950e-07 -2.088e-07 -2.519e-07     0     419
         -2.088e-07 -1.226e-07 -1.657e-07    61     480
         -1.226e-07 -3.637e-08 -7.948e-08     0     480
         -3.637e-08  4.985e-08  6.741e-09     0     480
          4.985e-08  1.361e-07  9.296e-08    20     500
          1.361e-07  2.223e-07  1.792e-07     0     500
          2.223e-07  3.085e-07  2.654e-07     0     500
          3.085e-07  3.947e-07  3.516e-07     0     500
!Created by ./stackanalysis_v4.pl in Users/CDFSmaster_Hg964ts
